split,mode,xml,agent_name
train,floor,floor-5506-2-16-01-10-58-23.xml,5506-2-16-01-10-58-23
train,floor,floor-5506-12-12-01-11-30-00.xml,5506-12-12-01-11-30-00
train,floor,floor-5506-12-14-01-15-22-01.xml,5506-12-14-01-15-22-01
train,floor,floor-5506-9-12-01-10-32-52.xml,5506-9-12-01-10-32-52
train,floor,floor-5506-9-7-01-13-40-02.xml,5506-9-7-01-13-40-02
train,floor,floor-5506-4-14-01-14-32-47.xml,5506-4-14-01-14-32-47
train,floor,floor-5506-12-12-01-15-33-01.xml,5506-12-12-01-15-33-01
train,floor,floor-5506-8-16-01-13-07-43.xml,5506-8-16-01-13-07-43
train,floor,floor-5506-3-10-01-14-19-06.xml,5506-3-10-01-14-19-06
train,vt,vt-5506-13-5-02-21-35-41.xml,5506-13-5-02-21-35-41
train,vt,vt-5506-14-2-02-15-14-46.xml,5506-14-2-02-15-14-46
train,vt,vt-5506-13-4-02-21-40-07.xml,5506-13-4-02-21-40-07
train,vt,vt-5506-10-12-02-12-35-19.xml,5506-10-12-02-12-35-19
train,vt,vt-5506-15-16-02-22-21-06.xml,5506-15-16-02-22-21-06
train,mvt,mvt-5506-13-10-17-12-25-45.xml,5506-13-10-17-12-25-45
train,mvt,mvt-5506-12-6-17-12-20-06.xml,5506-12-6-17-12-20-06
train,mvt,mvt-5506-3-15-17-12-18-03.xml,5506-3-15-17-12-18-03
train,mvt,mvt-5506-1-13-17-12-03-16.xml,5506-1-13-17-12-03-16
train,mvt,mvt-5506-1-12-17-11-10-12.xml,5506-1-12-17-11-10-12
train,mvt,mvt-5506-2-17-17-10-16-02.xml,5506-2-17-17-10-16-02
train,mvt,mvt-5506-10-14-17-10-38-34.xml,5506-10-14-17-10-38-34
train,mvt,mvt-5506-7-6-17-12-20-01.xml,5506-7-6-17-12-20-01
train,mvt,mvt-5506-12-11-17-05-56-16.xml,5506-12-11-17-05-56-16
test,floor,floor-5506-10-0-01-15-43-53.xml,5506-10-0-01-15-43-53
test,floor,floor-5506-10-3-01-15-22-34.xml,5506-10-3-01-15-22-34
test,floor,floor-5506-0-7-01-15-34-13.xml,5506-0-7-01-15-34-13
test,floor,floor-5506-6-2-01-09-16-44.xml,5506-6-2-01-09-16-44
test,floor,floor-5506-11-2-01-14-11-40.xml,5506-11-2-01-14-11-40
test,floor,floor-5506-15-11-01-10-04-14.xml,5506-15-11-01-10-04-14
test,floor,floor-5506-8-11-01-15-28-53.xml,5506-8-11-01-15-28-53
test,floor,floor-5506-12-12-01-15-33-01.xml,5506-12-12-01-15-33-01
test,floor,floor-5506-15-16-01-14-17-18.xml,5506-15-16-01-14-17-18
test,floor,floor-5506-3-15-01-14-36-50.xml,5506-3-15-01-14-36-50
test,floor,floor-5506-14-15-01-15-20-33.xml,5506-14-15-01-15-20-33
test,floor,floor-5506-8-12-01-13-32-46.xml,5506-8-12-01-13-32-46
test,floor,floor-5506-10-13-01-15-03-41.xml,5506-10-13-01-15-03-41
test,floor,floor-5506-6-11-01-14-16-09.xml,5506-6-11-01-14-16-09
test,floor,floor-5506-9-9-01-13-15-48.xml,5506-9-9-01-13-15-48
test,floor,floor-5506-6-3-01-15-20-20.xml,5506-6-3-01-15-20-20
test,floor,floor-5506-4-12-01-15-10-52.xml,5506-4-12-01-15-10-52
test,floor,floor-5506-4-3-01-09-35-18.xml,5506-4-3-01-09-35-18
test,floor,floor-5506-12-8-01-14-50-41.xml,5506-12-8-01-14-50-41
test,floor,floor-5506-12-14-01-15-22-01.xml,5506-12-14-01-15-22-01
test,floor,floor-5506-0-5-01-12-45-36.xml,5506-0-5-01-12-45-36
test,floor,floor-5506-2-0-01-11-27-44.xml,5506-2-0-01-11-27-44
test,floor,floor-5506-6-5-01-14-20-42.xml,5506-6-5-01-14-20-42
test,floor,floor-5506-14-12-01-12-02-42.xml,5506-14-12-01-12-02-42
test,floor,floor-5506-0-2-01-15-36-43.xml,5506-0-2-01-15-36-43
test,floor,floor-5506-4-14-01-14-32-47.xml,5506-4-14-01-14-32-47
test,floor,floor-5506-8-6-01-15-22-56.xml,5506-8-6-01-15-22-56
test,floor,floor-5506-14-11-01-13-58-37.xml,5506-14-11-01-13-58-37
test,floor,floor-5506-5-12-01-15-05-55.xml,5506-5-12-01-15-05-55
test,floor,floor-5506-9-7-01-13-40-02.xml,5506-9-7-01-13-40-02
test,floor,floor-5506-14-5-01-15-59-52.xml,5506-14-5-01-15-59-52
test,floor,floor-5506-15-11-01-12-54-35.xml,5506-15-11-01-12-54-35
test,floor,floor-5506-13-17-01-16-09-18.xml,5506-13-17-01-16-09-18
test,floor,floor-5506-9-2-01-14-19-00.xml,5506-9-2-01-14-19-00
test,floor,floor-5506-9-3-01-14-23-39.xml,5506-9-3-01-14-23-39
test,vt,vt-5506-5-3-02-18-52-53.xml,5506-5-3-02-18-52-53
test,vt,vt-5506-1-5-02-19-23-33.xml,5506-1-5-02-19-23-33
test,vt,vt-5506-8-16-02-14-47-12.xml,5506-8-16-02-14-47-12
test,vt,vt-5506-1-2-02-20-28-11.xml,5506-1-2-02-20-28-11
test,vt,vt-5506-13-3-02-21-34-38.xml,5506-13-3-02-21-34-38
test,vt,vt-5506-8-5-02-21-39-20.xml,5506-8-5-02-21-39-20
test,vt,vt-5506-5-16-02-21-15-42.xml,5506-5-16-02-21-15-42
test,mvt,mvt-5506-11-4-17-12-33-10.xml,5506-11-4-17-12-33-10
test,mvt,mvt-5506-1-15-17-07-32-47.xml,5506-1-15-17-07-32-47
test,mvt,mvt-5506-6-8-17-09-59-06.xml,5506-6-8-17-09-59-06
test,mvt,mvt-5506-11-6-17-12-43-05.xml,5506-11-6-17-12-43-05
test,mvt,mvt-5506-2-9-17-11-10-42.xml,5506-2-9-17-11-10-42
test,mvt,mvt-5506-15-11-17-12-12-28.xml,5506-15-11-17-12-12-28
test,mvt,mvt-5506-0-13-17-12-26-41.xml,5506-0-13-17-12-26-41
test,mvt,mvt-5506-4-16-17-05-46-47.xml,5506-4-16-17-05-46-47
test,mvt,mvt-5506-10-3-17-12-09-26.xml,5506-10-3-17-12-09-26
test,mvt,mvt-5506-8-17-17-09-38-29.xml,5506-8-17-17-09-38-29
test,mvt,mvt-5506-12-6-17-08-36-18.xml,5506-12-6-17-08-36-18
